census_subdivision_id,province_id,province,type,municipality,year,source_page_url,document_url,document_path
5909052,59,British Columbia,City,Abbotsford,2010,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2010%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2010.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2024,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2025/2024_financial_statement_package.pdf,lake/59/BC_RD_01/financial_statement_2024.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2023,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2024/acrd_financial_statements_2023.pdf,lake/59/BC_RD_01/financial_statement_2023.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2022,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2023/acrd_financial_statements_2022.pdf,lake/59/BC_RD_01/financial_statement_2022.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2021,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2021_acrd_financial_statement_.pdf,lake/59/BC_RD_01/financial_statement_2021.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2020,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2020_acrd_financial_statement.pdf,lake/59/BC_RD_01/financial_statement_2020.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2019,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2019_acrd_financial_statement.pdf,lake/59/BC_RD_01/financial_statement_2019.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2018,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2018_acrd_financial_statement.pdf,lake/59/BC_RD_01/financial_statement_2018.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2017,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2017_dec_31_acrd_financial_statement.pdf,lake/59/BC_RD_01/financial_statement_2017.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2016,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2016_dec_31_acrd_financial_statement.pdf,lake/59/BC_RD_01/financial_statement_2016.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2015,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/dms/documents/finance/2016_acrd_financial_statement.pdf,lake/59/BC_RD_01/financial_statement_2015.pdf
BC_RD_01,59,British Columbia,Regional District,Alberni-Clayoquot,2014,https://www.acrd.bc.ca/financial-statements,https://www.acrd.bc.ca/cms/wpattachments/wpID426atID1956.pdf,lake/59/BC_RD_01/financial_statement_2014.pdf
5943008,59,British Columbia,Village,Alert Bay,2024,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/9853,lake/59/5943008/financial_statement_2024.pdf
5943008,59,British Columbia,Village,Alert Bay,2023,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/5786,lake/59/5943008/financial_statement_2023.pdf
5943008,59,British Columbia,Village,Alert Bay,2022,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/5728,lake/59/5943008/financial_statement_2022.pdf
5943008,59,British Columbia,Village,Alert Bay,2021,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/5704,lake/59/5943008/financial_statement_2021.pdf
5943008,59,British Columbia,Village,Alert Bay,2020,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/4617,lake/59/5943008/financial_statement_2020.pdf
5943008,59,British Columbia,Village,Alert Bay,2019,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/4546,lake/59/5943008/financial_statement_2019.pdf
5943008,59,British Columbia,Village,Alert Bay,2018,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/4488,lake/59/5943008/financial_statement_2018.pdf
5943008,59,British Columbia,Village,Alert Bay,2017,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/4438,lake/59/5943008/financial_statement_2017.pdf
5943008,59,British Columbia,Village,Alert Bay,2016,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/3913,lake/59/5943008/financial_statement_2016.pdf
5943008,59,British Columbia,Village,Alert Bay,2015,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/3433,lake/59/5943008/financial_statement_2015.pdf
5943008,59,British Columbia,Village,Alert Bay,2014,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/3058,lake/59/5943008/financial_statement_2014.pdf
5943008,59,British Columbia,Village,Alert Bay,2013,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/2342,lake/59/5943008/financial_statement_2013.pdf
5943008,59,British Columbia,Village,Alert Bay,2012,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/1715,lake/59/5943008/financial_statement_2012.pdf
5943008,59,British Columbia,Village,Alert Bay,2011,https://alertbay.civicweb.net/filepro/documents/124/,https://alertbay.civicweb.net/document/141,lake/59/5943008/financial_statement_2011.pdf
5937028,59,British Columbia,City,Armstrong,2024,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/187637,lake/59/5937028/financial_statement_2024.pdf
5937028,59,British Columbia,City,Armstrong,2023,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/178473,lake/59/5937028/financial_statement_2023.pdf
5937028,59,British Columbia,City,Armstrong,2022,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/168366,lake/59/5937028/financial_statement_2022.pdf
5937028,59,British Columbia,City,Armstrong,2021,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/161022,lake/59/5937028/financial_statement_2021.pdf
5937028,59,British Columbia,City,Armstrong,2020,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/145104,lake/59/5937028/financial_statement_2020.pdf
5937028,59,British Columbia,City,Armstrong,2019,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/131788,lake/59/5937028/financial_statement_2019.pdf
5937028,59,British Columbia,City,Armstrong,2018,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/121770,lake/59/5937028/financial_statement_2018.pdf
5937028,59,British Columbia,City,Armstrong,2017,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/111283,lake/59/5937028/financial_statement_2017.pdf
5937028,59,British Columbia,City,Armstrong,2016,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/96975,lake/59/5937028/financial_statement_2016.pdf
5937028,59,British Columbia,City,Armstrong,2015,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/84738,lake/59/5937028/financial_statement_2015.pdf
5937028,59,British Columbia,City,Armstrong,2014,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/73994,lake/59/5937028/financial_statement_2014.pdf
5937028,59,British Columbia,City,Armstrong,2013,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/63727,lake/59/5937028/financial_statement_2013.pdf
5937028,59,British Columbia,City,Armstrong,2012,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/56951,lake/59/5937028/financial_statement_2012.pdf
5937028,59,British Columbia,City,Armstrong,2011,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/44617,lake/59/5937028/financial_statement_2011.pdf
5937028,59,British Columbia,City,Armstrong,2010,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/36650,lake/59/5937028/financial_statement_2010.pdf
5937028,59,British Columbia,City,Armstrong,2009,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/24743,lake/59/5937028/financial_statement_2009.pdf
5937028,59,British Columbia,City,Armstrong,2008,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/24567,lake/59/5937028/financial_statement_2008.pdf
5937028,59,British Columbia,City,Armstrong,2007,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/1549,lake/59/5937028/financial_statement_2007.pdf
5937028,59,British Columbia,City,Armstrong,2006,https://armstrong.civicweb.net/filepro/documents/30662/,https://armstrong.civicweb.net/document/1547,lake/59/5937028/financial_statement_2006.pdf
5933019,59,British Columbia,Village,Ashcroft,2024,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/07/2024-Annual-Report.pdf,lake/59/5933019/financial_statement_2024.pdf
5933019,59,British Columbia,Village,Ashcroft,2023,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2023.pdf,lake/59/5933019/financial_statement_2023.pdf
5933019,59,British Columbia,Village,Ashcroft,2022,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2022.pdf,lake/59/5933019/financial_statement_2022.pdf
5933019,59,British Columbia,Village,Ashcroft,2021,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2021.pdf,lake/59/5933019/financial_statement_2021.pdf
5933019,59,British Columbia,Village,Ashcroft,2020,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2020.pdf,lake/59/5933019/financial_statement_2020.pdf
5933019,59,British Columbia,Village,Ashcroft,2019,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2019.pdf,lake/59/5933019/financial_statement_2019.pdf
5933019,59,British Columbia,Village,Ashcroft,2018,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2018.pdf,lake/59/5933019/financial_statement_2018.pdf
5933019,59,British Columbia,Village,Ashcroft,2017,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2017.pdf,lake/59/5933019/financial_statement_2017.pdf
5933019,59,British Columbia,Village,Ashcroft,2016,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2016.pdf,lake/59/5933019/financial_statement_2016.pdf
5933019,59,British Columbia,Village,Ashcroft,2015,https://ashcroftbc.ca/governance/reports-plans-documents/reports/,https://ashcroftbc.ca/wp-content/uploads/2025/01/Village-of-Ashcroft-Annual-Report-2015.pdf,lake/59/5933019/financial_statement_2015.pdf
5933074,59,British Columbia,District,Barriere,2023,https://www.barriere.ca/p/finance,https://barriere.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2FFinancial%20Reports%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=5b%202023%20SOFI%20Report.pdf,lake/59/5933074/financial_statement_2023.pdf
5933074,59,British Columbia,District,Barriere,2020,https://www.barriere.ca/p/finance,https://barriere.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=COMPLETE%202020%20SOFI.pdf,lake/59/5933074/financial_statement_2020.pdf
5915036,59,British Columbia,Village,Belcarra,2024,https://www.burnaby.ca/our-city/financial-and-annual-reports,https://www.burnaby.ca/sites/default/files/acquiadam/2022-03/Solid-Waste-and-Recycling-Annual-Report.pdf,lake/59/5915036/financial_statement_2024.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2024,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/330940,lake/59/5915062/financial_statement_2024.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2023,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/311573,lake/59/5915062/financial_statement_2023.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2022,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/290125,lake/59/5915062/financial_statement_2022.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2021,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/265636,lake/59/5915062/financial_statement_2021.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2020,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/244851,lake/59/5915062/financial_statement_2020.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2019,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/226024,lake/59/5915062/financial_statement_2019.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2018,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/198078,lake/59/5915062/financial_statement_2018.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2017,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/163612,lake/59/5915062/financial_statement_2017.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2016,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/177220,lake/59/5915062/financial_statement_2016.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2015,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/177585,lake/59/5915062/financial_statement_2015.pdf
5915062,59,British Columbia,Island Municipality,Bowen Island,2014,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/,https://bowenisland.civicweb.net/document/177584,lake/59/5915062/financial_statement_2014.pdf
5915025,59,British Columbia,City,Burnaby,2024,https://www.burnaby.ca/our-city/financial-and-annual-reports,https://www.burnaby.ca/sites/default/files/acquiadam/2022-03/Solid-Waste-and-Recycling-Annual-Report.pdf,lake/59/5915025/financial_statement_2024.pdf
5951022,59,British Columbia,Village,Burns Lake,2023,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2023-village-burns-lake-annual-report,lake/59/5951022/financial_statement_2023.pdf
5951022,59,British Columbia,Village,Burns Lake,2022,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2022village-burns-lakefs-stmts-signed,lake/59/5951022/financial_statement_2022.pdf
5951022,59,British Columbia,Village,Burns Lake,2021,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2021village-burns-lakefs-stmts-signed-1,lake/59/5951022/financial_statement_2021.pdf
5951022,59,British Columbia,Village,Burns Lake,2020,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2020-annual-report-website-1,lake/59/5951022/financial_statement_2020.pdf
5951022,59,British Columbia,Village,Burns Lake,2019,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2019-audited-financial-statements,lake/59/5951022/financial_statement_2019.pdf
5951022,59,British Columbia,Village,Burns Lake,2018,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2018-annual-report,lake/59/5951022/financial_statement_2018.pdf
5951022,59,British Columbia,Village,Burns Lake,2017,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2017-annual-report-audited-financial-statements-final,lake/59/5951022/financial_statement_2017.pdf
5951022,59,British Columbia,Village,Burns Lake,2016,https://www.burnslake.ca/local-government/admin-finance,https://www.burnslake.ca/media/file/2016-annual-report,lake/59/5951022/financial_statement_2016.pdf
5924034,59,British Columbia,City,Campbell River,2024,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2024-campbell-river-annual-report-reduced?sfvrsn=eeff7708_0,lake/59/5924034/financial_statement_2024.pdf
5924034,59,British Columbia,City,Campbell River,2023,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/city-campbell-river-2023-annual-report-web,lake/59/5924034/financial_statement_2023.pdf
5924034,59,British Columbia,City,Campbell River,2022,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2022-annual-report-pages-reduced,lake/59/5924034/financial_statement_2022.pdf
5924034,59,British Columbia,City,Campbell River,2021,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/cityofcampbellriver2021annualreport,lake/59/5924034/financial_statement_2021.pdf
5924034,59,British Columbia,City,Campbell River,2020,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2020-ccr-annual-final-june-9-2021-reduced-size,lake/59/5924034/financial_statement_2020.pdf
5924034,59,British Columbia,City,Campbell River,2019,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2019-ccr-annual-report-final-aug31-2020-reduced,lake/59/5924034/financial_statement_2019.pdf
5924034,59,British Columbia,City,Campbell River,2018,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2018-ccr-annual-report-web,lake/59/5924034/financial_statement_2018.pdf
5924034,59,British Columbia,City,Campbell River,2017,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2017-ccr-annual-report-final-print,lake/59/5924034/financial_statement_2017.pdf
5924034,59,British Columbia,City,Campbell River,2016,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2016-ccr-annual-report-web,lake/59/5924034/financial_statement_2016.pdf
5924034,59,British Columbia,City,Campbell River,2015,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2015-annual-report-web,lake/59/5924034/financial_statement_2015.pdf
5924034,59,British Columbia,City,Campbell River,2014,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/annual-report-2014-web,lake/59/5924034/financial_statement_2014.pdf
5924034,59,British Columbia,City,Campbell River,2013,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/city-campbell-river-2013-annual-report-web,lake/59/5924034/financial_statement_2013.pdf
5924034,59,British Columbia,City,Campbell River,2012,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2012-annual-report,lake/59/5924034/financial_statement_2012.pdf
5924034,59,British Columbia,City,Campbell River,2011,https://www.campbellriver.ca/financial-plans-and-reports,https://www.campbellriver.ca/media/file/2011-annual-report,lake/59/5924034/financial_statement_2011.pdf
5901043,59,British Columbia,Village,Canal Flats,2024,https://canalflats.civicweb.net/filepro/documents/2266/,https://canalflats.civicweb.net/document/42627,lake/59/5901043/financial_statement_2024.pdf
5901043,59,British Columbia,Village,Canal Flats,2023,https://canalflats.civicweb.net/filepro/documents/2266/,https://canalflats.civicweb.net/document/33553,lake/59/5901043/financial_statement_2023.pdf
5901043,59,British Columbia,Village,Canal Flats,2022,https://canalflats.civicweb.net/filepro/documents/2266/,https://canalflats.civicweb.net/document/28296,lake/59/5901043/financial_statement_2022.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2024,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/2024gfoastatementspdf,lake/59/BC_RD_03/financial_statement_2024.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2023,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/2023gfoafinancialstatements,lake/59/BC_RD_03/financial_statement_2023.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2022,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/2022-crd-consolidated-financial-statements,lake/59/BC_RD_03/financial_statement_2022.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2021,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/consolidated-2021-v1-3,lake/59/BC_RD_03/financial_statement_2021.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2020,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/consolidated-2020-digital-v1-0,lake/59/BC_RD_03/financial_statement_2020.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2019,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/consolidated2019,lake/59/BC_RD_03/financial_statement_2019.pdf
BC_RD_03,59,British Columbia,Regional District,Capital,2018,https://www.crd.ca/government-administration/financial-plans-reports,https://www.crd.ca/media/file/crd-consolidated2018,lake/59/BC_RD_03/financial_statement_2018.pdf
BC_RD_04,59,British Columbia,Regional District,Cariboo,2024,https://www.cariboord.ca/regional-government/budget-and-finances/financial-statements/,https://www.cariboord.ca/media/xnnjwm1k/crd-financial-statements-2024.pdf,lake/59/BC_RD_04/financial_statement_2024.pdf
BC_RD_04,59,British Columbia,Regional District,Cariboo,2023,https://www.cariboord.ca/regional-government/budget-and-finances/financial-statements/,https://www.cariboord.ca/media/5prpeauy/crd-2023-financial-statements.pdf,lake/59/BC_RD_04/financial_statement_2023.pdf
BC_RD_04,59,British Columbia,Regional District,Cariboo,2022,https://www.cariboord.ca/regional-government/budget-and-finances/financial-statements/,https://www.cariboord.ca/media/ty5pc021/crd-financial-statements-2022.pdf,lake/59/BC_RD_04/financial_statement_2022.pdf
BC_RD_04,59,British Columbia,Regional District,Cariboo,2021,https://www.cariboord.ca/regional-government/budget-and-finances/financial-statements/,https://www.cariboord.ca/media/elhlaf0m/crd-2021-financial-statements.pdf,lake/59/BC_RD_04/financial_statement_2021.pdf
BC_RD_04,59,British Columbia,Regional District,Cariboo,2020,https://www.cariboord.ca/regional-government/budget-and-finances/financial-statements/,https://www.cariboord.ca/media/5jxj3vd0/crd_2020_financial.pdf,lake/59/BC_RD_04/financial_statement_2020.pdf
5903045,59,British Columbia,City,Castlegar,2024,https://castlegar.ca/government/reports-plans-publications/annual-reports/,https://castlegar.ca/wp-content/uploads/2025/10/Castlegar_AR_2024_v16-1.pdf,lake/59/5903045/financial_statement_2024.pdf
5903045,59,British Columbia,City,Castlegar,2023,https://castlegar.ca/government/reports-plans-publications/annual-reports/,https://castlegar.ca/wp-content/uploads/2023/07/2022-Annual-Report.pdf,lake/59/5903045/financial_statement_2023.pdf
5903045,59,British Columbia,City,Castlegar,2021,https://castlegar.ca/government/reports-plans-publications/annual-reports/,https://castlegar.ca/wp-content/uploads/2023/01/Castlegar-AR-2021-digitalweb.pdf,lake/59/5903045/financial_statement_2021.pdf
BC_RD_05,59,British Columbia,Regional District,Central Coast,2024,https://www.ccrd.ca/governance/finance,https://www.ccrd.ca/sites/default/files/uploads/documents/CCRD%202024%20Audited%20Financial%20Statement.pdf,lake/59/BC_RD_05/financial_statement_2024.pdf
BC_RD_05,59,British Columbia,Regional District,Central Coast,2023,https://www.ccrd.ca/governance/finance,https://www.ccrd.ca/sites/default/files/uploads/documents/CCRD%202023%20Audited%20Financial%20Statement.pdf,lake/59/BC_RD_05/financial_statement_2023.pdf
BC_RD_05,59,British Columbia,Regional District,Central Coast,2022,https://www.ccrd.ca/governance/finance,https://www.ccrd.ca/sites/default/files/uploads/documents/CCRD%202022%20Audited%20Financial%20Statement.pdf,lake/59/BC_RD_05/financial_statement_2022.pdf
BC_RD_05,59,British Columbia,Regional District,Central Coast,2021,https://www.ccrd.ca/governance/finance,https://www.ccrd.ca/sites/default/files/uploads/documents/2021%20CCRHD%20Audited%20Financial%20Statements.pdf,lake/59/BC_RD_05/financial_statement_2021.pdf
